MSFT	Microsoft Corporation	2,968.42B	399.16	0.01%	227.58B
150	ALNY	Alnylam Pharmaceuticals, Inc.	18.54B	146.92	1.74%	1.83B
151	ENTG	Entegris, Inc.	18.54B	123.09	0.73%	3.52B
152	ZM	Zoom Video Communications, Inc.	18.37B	59.69	0.40%	4.53B
153	COO	The Cooper Companies, Inc.	18.00B	90.56	0.15%	3.67B
154	CHKP	Check Point Software Technologies Ltd.	17.94B	159.07	0.71%	2.41B
155	HOLX	Hologic, Inc.	17.87B	76.11	0.97%	3.97B
156	ERIE	Erie Indemnity Company	17.73B	383.91	0.61%	3.27B
157	STX	Seagate Technology Holdings plc	17.64B	84.30	2.23%	6.47B
158	UAL	United Airlines Holdings, Inc.	17.63B	53.68	4.48%	54.83B
159	ERIC	Telefonaktiebolaget LM Ericsson (publ)	17.49B	5.23	2.55%	26.13B
160	JBHT	J.B. Hunt Transport Services, Inc.	17.27B	167.18	-0.07%	12.83B
161	WMG	Warner Music Group Corp.	17.19B	33.16	0.58%	6.30B
162	NTRS	Northern Trust Corporation	17.10B	83.61	2.65%	6.75B
163	EXPE	Expedia Group, Inc.	16.97B	129.77	0.60%	12.84B
164	BMRN	BioMarin Pharmaceutical Inc.	16.93B	89.25	0.70%	2.42B
165	TPG	TPG Inc.	16.42B	42.88	0.94%	2.39B
166	CG	The Carlyle Group Inc.	16.30B	45.12	2.36%	2.96B
167	CELH	Celsius Holdings, Inc.	15.87B	68.22	-0.90%	1.32B
168	WBA	Walgreens Boots Alliance, Inc.	15.75B	18.25	0.05%	144.60B
169	SWKS	Skyworks Solutions, Inc.	15.65B	97.61	1.56%	4.64B
170	BSY	Bentley Systems, Incorporated	15.64B	52.55	0.17%	1.23B
171	AKAM	Akamai Technologies, Inc.	15.31B	101.10	-0.40%	3.81B
172	SSNC	SS&C Technologies Holdings, Inc.	15.14B	61.28	0.76%	5.50B
173	HOOD	Robinhood Markets, Inc.	14.95B	17.11	2.86%	1.87B
174	TER	Teradyne, Inc.	14.94B	97.65	1.75%	2.68B
175	NDSN	Nordson Corporation	14.94B	261.67	0.80%	2.65B
176	OKTA	Okta, Inc.	14.89B	93.08	1.14%	2.26B
177	ENPH	Enphase Energy, Inc.	14.79B	108.86	2.24%	2.29B
178	SKYE	Skye Bioscience, Inc.	14.57B	15.20	-5.82%	-
179	NTNX	Nutanix, Inc.	14.55B	59.77	1.74%	2.02B
180	FOX	Fox Corporation	14.40B	29.03	0.55%	14.56B
181	FOXA	Fox Corporation	14.37B	31.50	0.35%	14.56B
182	TRMB	Trimble Inc.	14.34B	58.69	1.24%	3.80B
183	BGNE	BeiGene, Ltd.	14.17B	130.53	0.78%	2.46B
184	NICE	NICE Ltd.	14.08B	224.19	-	2.38B
185	POOL	Pool Corporation	14.02B	365.42	1.19%	5.54B
186	MANH	Manhattan Associates, Inc.	14.01B	227.27	0.41%	928.73M
187	SAIA	Saia, Inc.	13.99B	526.67	1.77%	2.88B
188	NWS	News Corporation	13.98B	25.17	1.55%	9.97B
189	NWSA	News Corporation	13.98B	24.40	1.56%	9.97B
190	ZBRA	Zebra Technologies Corporation	13.97B	272.31	1.58%	4.58B
191	LECO	Lincoln Electric Holdings, Inc.	13.49B	237.44	-0.39%	4.19B
192	VTRS	Viatris Inc.	13.40B	11.28	0.27%	15.43B
193	HST	Host Hotels & Resorts, Inc.	13.30B	18.89	0.94%	5.31B
194	NBIX	Neurocrine Biosciences, Inc.	13.20B	132.74	0.56%	1.89B
195	LKQ	LKQ Corporation	13.11B	49.12	-	13.87B
196	GEN	Gen Digital Inc.	12.99B	20.44	-0.32%	3.79B
197	MORN	Morningstar, Inc.	12.86B	300.61	0.89%	2.04B
198	GRAB	Grab Holdings Limited	12.84B	3.35	-0.74%	2.36B
199	LNT	Alliant Energy Corporation	12.80B	49.94	0.23%	4.03B
200	AZPN	Aspen Technology, Inc.	12.66B	199.18	0.36%	1.06B
201	ARCC	Ares Capital Corporation	12.54B	20.66	0.34%	2.61B
202	PAA	Plains All American Pipeline, L.P.	12.54B	17.87	-0.39%	48.71B
203	RPRX	Royalty Pharma plc	12.49B	27.98	-0.66%	2.35B
204	SWAV	ShockWave Medical, Inc.	12.30B	329.01	-	730.23M
205	LOGI	Logitech International S.A.	12.11B	78.13	1.05%	4.25B
206	JKHY	Jack Henry & Associates, Inc.	12.08B	165.59	-0.01%	2.16B
207	HTHT	H World Group Limited	12.04B	37.71	2.22%	3.09B
208	APA	APA Corporation	12.03B	32.44	0.25%	8.19B
209	EVRG	Evergy, Inc.	11.99B	52.18	0.81%	5.51B
210	SIRI	Sirius XM Holdings Inc.	11.96B	3.12	0.81%	8.95B
211	INCY	Incyte Corporation	11.73B	52.24	-0.21%	3.70B
212	CASY	Casey's General Stores, Inc.	11.67B	315.49	1.63%	14.59B
213	CHK	Chesapeake Energy Corporation	11.60B	88.69	1.35%	8.72B
214	FLEX	Flex Ltd.	11.59B	27.52	1.64%	29.39B
215	PODD	Insulet Corporation	11.56B	165.30	-0.57%	1.70B
216	XP	XP Inc.	11.56B	21.10	0.38%	3.05B
217	LAMR	Lamar Advertising Company	11.53B	113.35	1.71%	2.11B
218	MEDP	Medpace Holdings, Inc.	11.53B	375.12	0.84%	1.89B
219	GLPI	Gaming and Leisure Properties, Inc.	11.51B	43.06	0.61%	1.44B
220	DOCU	DocuSign, Inc.	11.44B	55.69	-0.02%	2.76B
221	EXAS	Exact Sciences Corporation	11.20B	61.74	1.28%	2.50B
222	UTHR	United Therapeutics Corporation	11.18B	237.66	-0.11%	2.33B
223	WYNN	Wynn Resorts, Limited	10.96B	97.78	2.94%	6.53B
224	SRPT	Sarepta Therapeutics, Inc.	10.90B	116.31	0.60%	1.24B
225	REG	Regency Centers Corporation	10.89B	58.90	0.91%	1.32B
226	BRKR	Bruker Corporation	10.78B	78.33	0.73%	2.96B
227	FFIV	F5, Inc.	10.55B	179.52	1.23%	2.81B
228	EWBC	East West Bancorp, Inc.	10.43B	74.54	2.28%	2.48B
229	NTRA	Natera, Inc.	10.39B	87.32	2.39%	1.08B
230	WING	Wingstop Inc.	10.35B	352.46	1.47%	460.06M
231	ALAB	Astera Labs, Inc.	10.33B	67.87	5.23%	115.79M
232	QRVO	Qorvo, Inc.	10.31B	106.73	1.76%	3.46B
233	TXRH	Texas Roadhouse, Inc.	10.18B	152.19	0.97%	4.63B
234	DOX	Amdocs Limited	10.09B	86.59	0.53%	4.95B
235	TECH	Bio-Techne Corporation	9.90B	62.96	1.35%	1.14B
236	TTEK	Tetra Tech, Inc.	9.88B	184.97	0.16%	4.86B
237	CYBR	CyberArk Software Ltd.	9.87B	233.83	0.05%	751.89M
238	ZG	Zillow Group, Inc.	9.81B	41.00	-0.10%	1.95B
239	Z	Zillow Group, Inc.	9.80B	41.72	-0.24%	1.95B
240	OTEX	Open Text Corporation	9.65B	35.47	1.20%	5.70B
241	AFRM	Affirm Holdings, Inc.	9.65B	31.39	1.23%	1.91B
242	AAL	American Airlines Group Inc.	9.54B	14.52	2.91%	52.79B
243	CART	Maplebear Inc.	9.48B	35.57	0.97%	3.04B
244	HSIC	Henry Schein, Inc.	9.25B	72.03	1.65%	12.34B
245	LSCC	Lattice Semiconductor Corporation	9.13B	66.42	-0.14%	737.15M
246	PCTY	Paylocity Holding Corporation	9.06B	160.60	2.15%	1.29B
247	ESLT	Elbit Systems Ltd.	8.98B	202.40	0.45%	5.97B
248	WWD	Woodward, Inc.	8.93B	147.98	0.33%	3.08B
249	CHDN	Churchill Downs Incorporated	8.85B	120.32	1.14%	2.46B
250	MNDY	monday.com Ltd.	8.85B	180.67	1.46%	729.70M
251	SEIC	SEI Investments Company	8.83B	67.13	1.51%	1.92B
252	RGEN	Repligen Corporation	8.82B	158.20	0.67%	638.76M
253	DUOL	Duolingo, Inc.	8.70B	204.11	1.98%	531.11M
254	MTCH	Match Group, Inc.	8.61B	32.13	-0.17%	3.36B
255	ROIV	Roivant Sciences Ltd.	8.56B	10.63	1.58%	123.24M
256	PPC	Pilgrim's Pride Corporation	8.53B	36.07	0.84%	17.36B
257	LEGN	Legend Biotech Corporation	8.45B	46.40	0.45%	285.14M
258	RIVN	Rivian Automotive, Inc.	8.43B	8.68	0.58%	4.43B
259	CFLT	Confluent, Inc.	8.41B	26.91	0.06%	776.95M
260	WFRD	Weatherford International plc	8.37B	115.82	2.69%	5.14B
261	CHRW	C.H. Robinson Worldwide, Inc.	8.30B	71.02	-0.28%	17.60B
262	ROKU	Roku, Inc.	8.27B	57.73	1.46%	3.48B
263	CZR	Caesars Entertainment, Inc.	8.26B	38.09	-0.29%	11.53B
264	FIVE	Five Below, Inc.	8.14B	147.24	-2.03%	3.56B
265	ASND	Ascendis Pharma A/S	8.10B	143.61	2.45%	296.35M
266	LSXMK	Liberty SiriusXM Group - Series C	8.06B	24.64	1.21%	-
267	LSXMA	Liberty SiriusXM Group - Series A	8.05B	24.78	1.08%	-
268	LNW	Light & Wonder, Inc.	8.02B	89.17	2.27%	2.90B
269	BZ	Kanzhun Limited	8.00B	18.24	2.21%	839.50M
270	DBX	Dropbox, Inc.	7.99B	23.21	1.00%	2.50B
271	LSXMB	Liberty SiriusXM Group - Series B	7.95B	26.45	6.74%	-
272	GTLB	GitLab Inc.	7.95B	52.03	1.05%	579.91M
273	GNTX	Gentex Corporation	7.93B	34.23	0.93%	2.30B
274	RGLD	Royal Gold, Inc.	7.86B	119.32	-2.78%	605.72M
275	APPF	AppFolio, Inc.	7.85B	214.87	3.06%	620.45M
276	ETSY	Etsy, Inc.	7.84B	66.07	-1.04%	2.75B
277	DSGX	The Descartes Systems Group Inc.	7.80B	91.73	1.56%	572.93M
278	FUTU	Futu Holdings Limited	7.76B	55.67	1.64%	1.28B
279	COKE	Coca-Cola Consolidated, Inc.	7.76B	829.90	1.56%	6.65B
280	PARAA	Paramount Global	7.76B	22.82	-	29.65B
281	HAS	Hasbro, Inc.	7.74B	55.77	0.90%	5.00B
282	PARA	Paramount Global	7.70B	12.32	-0.96%	29.65B
283	MKTX	MarketAxess Holdings Inc.	7.69B	204.09	0.04%	752.55M
284	MIDD	The Middleby Corporation	7.69B	143.43	0.58%	4.04B
285	CERE	Cerevel Therapeutics Holdings, Inc.	7.67B	42.20	-0.02%	-
286	CROX	Crocs, Inc.	7.63B	125.83	4.39%	3.96B
287	SOFI	SoFi Technologies, Inc.	7.62B	7.20	1.27%	2.12B
288	CHRD	Chord Energy Corporation	7.57B	182.26	1.26%	3.90B
289	MKSI	MKS Instruments, Inc.	7.32B	109.38	1.11%	3.62B
290	IEP	Icahn Enterprises L.P.	7.31B	17.06	0.35%	10.85B
291	OLED	Universal Display Corporation	7.19B	151.99	1.45%	576.43M
292	WSC	WillScot Mobile Mini Holdings Corp.	7.16B	37.60	-2.24%	2.36B
293	CBSH	Commerce Bancshares, Inc.	7.15B	55.00	2.14%	1.54B
294	LBRDA	Liberty Broadband Corporation	7.14B	49.97	-0.26%	981.00M
295	AMKR	Amkor Technology, Inc.	7.13B	28.96	1.61%	6.50B
296	MASI	Masimo Corporation	7.12B	134.76	-0.01%	2.05B
297	ITCI	Intra-Cellular Therapies, Inc.	7.11B	73.73	1.88%	464.37M
298	LBRDK	Liberty Broadband Corporation	7.11B	49.72	-0.32%	981.00M
299	AAON	AAON, Inc.	7.11B	86.63	1.42%	1.17B
300	VKTX	Viking Therapeutics, Inc.	7.04B	64.24	1.29%	-
301	FTAI	FTAI Aviation Ltd	7.00B	69.70	1.69%	1.17B
302	HQY	HealthEquity, Inc.	6.98B	81.10	0.25%	999.59M
303	CCCS	CCC Intelligent Solutions Holdings Inc.	6.98B	11.36	-0.70%	866.38M
304	VNOM	Viper Energy Partners LP	6.96B	39.34	0.77%	827.70M
305	UFPI	UFP Industries, Inc.	6.95B	112.89	0.98%	7.22B
306	CYTK	Cytokinetics, Incorporated	6.93B	66.29	-1.87%	7.53M
307	ALTR	Altair Engineering Inc.	6.89B	82.41	0.11%	612.70M
308	JAZZ	Jazz Pharmaceuticals plc	6.85B	109.87	-0.06%	3.83B
309	MTSI	MACOM Technology Solutions Holdings, Inc.	6.84B	95.20	2.58%	625.45M
310	PCVX	Vaxcyte, Inc.	6.80B	62.63	2.96%	-
311	FSV	FirstService Corporation	6.77B	150.47	0.73%	4.33B
312	EXEL	Exelixis, Inc.	6.76B	22.89	1.64%	1.83B
313	CHX	ChampionX Corporation	6.75B	35.44	-0.25%	3.76B
314	WIX	Wix.com Ltd.	6.75B	121.15	-0.22%	1.56B
315	CGNX	Cognex Corporation	6.70B	39.01	1.43%	837.55M
316	ENSG	The Ensign Group, Inc.	6.69B	117.83	-0.36%	3.73B
317	LBTYB	Liberty Global plc	6.65B	16.33	-0.85%	7.49B
318	SFM	Sprouts Farmers Market, Inc.	6.64B	65.76	0.94%	6.84B
319	MAT	Mattel, Inc.	6.54B	18.51	2.52%	5.44B
320	MMYT	MakeMyTrip Limited	6.53B	62.46	2.55%	728.16M
321	CACC	Credit Acceptance Corporation	6.51B	528.49	-1.31%	1.90B
322	ACHC	Acadia Healthcare Company, Inc.	6.51B	70.38	0.31%	2.93B
323	LBTYA	Liberty Global plc	6.48B	16.36	-2.42%	7.49B
324	LBTYK	Liberty Global plc	6.46B	16.90	-2.85%	7.49B
325	SAIC	Science Applications International Corporation	6.44B	124.64	-0.24%	7.44B
326	AGNC	AGNC Investment Corp.	6.41B	9.22	0.71%	251.00M
327	LYFT	Lyft, Inc.	6.39B	16.34	1.18%	4.40B
328	SPSC	SPS Commerce, Inc.	6.32B	170.83	3.23%	536.91M
329	XRAY	DENTSPLY SIRONA Inc.	6.32B	30.44	-0.20%	3.97B
330	PNFP	Pinnacle Financial Partners, Inc.	6.32B	81.83	2.92%	1.60B
331	NXT	Nextracker Inc.	6.31B	43.60	-0.91%	2.28B
332	SIGI	Selective Insurance Group, Inc.	6.26B	102.85	0.35%	4.23B
333	QLYS	Qualys, Inc.	6.23B	168.57	3.07%	554.46M
334	BPOP	Popular, Inc.	6.19B	85.65	2.94%	2.57B
335	HLNE	Hamilton Lane Incorporated	6.19B	111.11	0.93%	489.97M
336	LSTR	Landstar System, Inc.	6.15B	172.18	0.80%	5.30B
337	WTFC	Wintrust Financial Corporation	6.12B	99.17	1.91%	2.16B
338	ZION	Zions Bancorporation,NA	6.11B	41.28	3.41%	2.98B
339	BECN	Beacon Roofing Supply, Inc.	6.06B	95.59	1.09%	9.12B
340	NSIT	Insight Enterprises, Inc.	6.02B	184.69	1.15%	9.18B
341	IONS	Ionis Pharmaceuticals, Inc.	6.01B	41.29	1.49%	787.65M
342	RMBS	Rambus Inc.	5.97B	54.95	0.49%	461.12M
343	REYN	Reynolds Consumer Products Inc.	5.95B	28.28	0.32%	3.76B
344	FCFS	FirstCash Holdings, Inc	5.94B	131.72	1.00%	3.15B
345	RVMD	Revolution Medicines, Inc.	5.93B	36.09	3.35%	11.58M
346	ZI	ZoomInfo Technologies Inc.	5.90B	15.55	0.10%	1.24B
347	NFE	New Fortress Energy Inc.	5.81B	28.29	0.82%	2.41B
348	BOKF	BOK Financial Corporation	5.78B	89.52	1.90%	2.02B
349	APLS	Apellis Pharmaceuticals, Inc.	5.72B	47.60	0.14%	396.59M
350	LFUS	Littelfuse, Inc.	5.70B	228.54	0.79%	2.36B
351	DRS	Leonardo DRS, Inc.	5.52B	21.06	0.53%	2.83B
352	GGAL	Grupo Financiero Galicia S.A.	5.51B	30.57	7.40%	8.74B
353	NOVT	Novanta Inc.	5.47B	153.08	2.46%	881.66M
354	FRSH	Freshworks Inc.	5.47B	17.93	1.93%	596.43M
355	GLBE	Global-e Online Ltd.	5.47B	32.95	-0.15%	569.95M
356	BPMC	Blueprint Medicines Corporation	5.45B	89.81	3.40%	249.38M
357	NXST	Nexstar Media Group, Inc.	5.45B	162.74	-1.52%	4.93B
358	LCID	Lucid Group, Inc.	5.43B	2.37	-3.47%	595.27M
359	GRFS	Grifols, S.A.	5.37B	6.28	-	7.32B
360	OPCH	Option Care Health, Inc.	5.36B	30.91	-0.55%	4.30B
361	CWST	Casella Waste Systems, Inc.	5.36B	94.15	0.77%	1.26B
362	FYBR	Frontier Communications Parent, Inc.	5.34B	21.76	0.25%	5.74B
363	VFS	VinFast Auto Ltd.	5.34B	2.28	-9.52%	1.34B
364	TENB	Tenable Holdings, Inc.	5.32B	45.05	0.49%	798.71M
365	ONB	Old National Bancorp	5.22B	16.50	1.91%	1.78B
366	OZK	Bank OZK	5.21B	45.34	0.88%	2.09B
367	DOOO	BRP Inc.	5.19B	69.22	-0.23%	7.74B
